state1,state2,distance
AL,AL,0.0
AL,AK,72.54408886366966
AL,AZ,24.876463117774605
AL,AR,5.998879942956018
AL,CA,32.93675355738632
AL,CO,19.72474946989188
AL,CT,16.64449723512248
AL,DE,12.914827359666873
AL,DC,11.571520146030936
AL,FL,6.032330578640392
AL,GA,3.3889068473476804
AL,HI,70.65709236792866
AL,ID,30.097623473291048
AL,IL,7.63855209643817
AL,IN,7.135803910562561
AL,IA,11.439533547308644
AL,KS,12.88778481275971
AL,KY,4.99433535618104
AL,LA,5.443810049955818
AL,ME,21.62809508070463
AL,MD,11.838098842297274
AL,MA,17.761942692171928
AL,MI,11.653950898300538
AL,MN,15.433231976809008
AL,MS,2.8394256126900053
AL,MO,7.924277779709643
AL,MT,26.903101569335835
AL,NE,15.647271312276786
AL,NV,30.5136847414402
AL,NH,18.743619900382097
AL,NJ,14.237038754600622
AL,NM,19.35247287816211
AL,NY,15.20695100833826
AL,NC,7.942060355474519
AL,ND,20.030043992213297
AL,OH,8.52251554648039
AL,OK,11.02942943265879
AL,OR,35.526076251114475
AL,PA,12.129039059216522
AL,RI,17.674906123937397
AL,SC,6.0403716392288285
AL,SD,17.76416555231345
AL,TN,3.1155181270536634
AL,TX,12.57028798158578
AL,UT,25.684529814072903
AL,VT,18.111764985776503
AL,VA,9.278369329251769
AL,WA,36.653198939383174
AL,WV,8.536487465579741
AL,WI,12.260563330043198
AL,WY,23.103999479310932
AK,AL,72.54408886366966
AK,AK,0.0
AK,AZ,50.373706621708905
AK,AR,66.56922823234471
AK,CA,42.416685364606224
AK,CO,53.03112640563087
AK,CT,82.65709614044036
AK,DE,80.76555864630666
AK,DC,79.35703826888954
AK,FL,78.3062657534504
AK,GA,75.67031225229614
AK,HI,43.96696243647041
AK,ID,42.51412754367658
AK,IL,67.50250360638485
AK,IN,70.28476358393759
AK,IA,62.76190469066407
AK,KS,59.65771735391826
AK,KY,72.04054770509453
AK,LA,68.72278214769831
AK,ME,85.11480631570514
AK,MD,79.52362946659314
AK,MA,83.37285484628674
AK,MI,69.7156999480031
AK,MN,60.640439998815964
AK,MS,70.01258942911623
AK,MO,65.111889311016
AK,MT,45.91432179233403
AK,NE,57.11486871297175
AK,NV,43.390741145548546
AK,NH,83.23276093227955
AK,NJ,81.19573536830613
AK,NM,54.873137994104184
AK,NY,79.6028137571154
AK,NC,78.26879808767987
AK,ND,54.41218291752316
AK,OH,73.44176967870533
AK,OK,61.74433832644092
AK,OR,37.57081652053891
AK,PA,78.00549025626337
AK,RI,83.77025953934964
AK,SC,77.48858208665325
AK,SD,55.62831580454329
AK,TN,71.70978969108751
AK,TX,62.17455605663783
AK,UT,47.56267140741782
AK,VT,82.08609037955212
AK,VA,78.07624740758229
AK,WA,35.939279622858336
AK,WV,76.03337110775767
AK,WI,65.24864769824735
AK,WY,49.442566972599636
AZ,AL,24.876463117774605
AZ,AK,50.373706621708905
AZ,AZ,0.0
AZ,AR,19.227579309939152
AZ,CA,8.333851597550796
AZ,CO,7.724394707677753
AZ,CT,39.62015217865777
AZ,DE,36.461371313761646
AZ,DC,34.954261324479454
AZ,FL,29.750746502566955
AZ,GA,28.264806954408876
AZ,HI,46.84853271064101
AZ,ID,10.500232382666589
AZ,IL,23.192230746092537
AZ,IN,25.993373963377675
AZ,IA,19.76838592627128
AZ,KS,13.93397217343282
AZ,KY,26.558971962408492
